fecha,capa1,capa2,capa3,iep_total,pesos_version,capa1_adj,capa2_adj,capa3_adj,iep_ajustado
2010-05-19,,,,,incompleta-v4,,,,
2010-05-20,,,,,incompleta-v4,,,,
2010-05-21,,,,,incompleta-v4,,,,
2010-05-24,,,,,incompleta-v4,,,,
2010-05-25,,,,,incompleta-v4,,,,
2010-05-26,,,,,incompleta-v4,,,,
2010-05-27,,,,,incompleta-v4,,,,
2010-05-28,,,,,incompleta-v4,,,,
2010-05-31,,,,,incompleta-v4,,,,
2010-06-01,,,,,incompleta-v4,,,,
2010-06-02,,,,,incompleta-v4,,,,
2010-06-03,,,,,incompleta-v4,,,,
2010-06-04,,,,,incompleta-v4,,,,
2010-06-07,,,,,incompleta-v4,,,,
2010-06-08,,,,,incompleta-v4,,,,
2010-06-09,,,,,incompleta-v4,,,,
2010-06-10,,,,,incompleta-v4,,,,
2010-06-11,,,,,incompleta-v4,,,,
2010-06-14,,,,,incompleta-v4,,,,
2010-06-15,,,,,incompleta-v4,,,,
2010-06-16,,,,,incompleta-v4,,,,
2010-06-17,,,,,incompleta-v4,,,,
2010-06-18,,,,,incompleta-v4,,,,
2010-06-21,,,,,incompleta-v4,,,,
2010-06-22,,,,,incompleta-v4,,,,
2010-06-23,,,,,incompleta-v4,,,,
2010-06-24,,,,,incompleta-v4,,,,
2010-06-25,,,,,incompleta-v4,,,,
2010-06-28,,,,,incompleta-v4,,,,
2010-06-29,,,,,incompleta-v4,,,,
2010-06-30,,,,,incompleta-v4,,,,
2010-07-01,,,,,incompleta-v4,,,,
2010-07-02,,,,,incompleta-v4,,,,
2010-07-05,,,,,incompleta-v4,,,,
2010-07-06,,,,,incompleta-v4,,,,
2010-07-07,,,,,incompleta-v4,,,,
2010-07-08,,,,,incompleta-v4,,,,
2010-07-09,,,,,incompleta-v4,,,,
2010-07-12,,,,,incompleta-v4,,,,
2010-07-13,,,,,incompleta-v4,,,,
2010-07-14,,,,,incompleta-v4,,,,
2010-07-15,,,,,incompleta-v4,,,,
2010-07-16,,,,,incompleta-v4,,,,
2010-07-19,,,,,incompleta-v4,,,,
2010-07-20,,,,,incompleta-v4,,,,
2010-07-21,,,,,incompleta-v4,,,,
2010-07-22,,,,,incompleta-v4,,,,
2010-07-23,,,,,incompleta-v4,,,,
2010-07-26,,,,,incompleta-v4,,,,
2010-07-27,,,,,incompleta-v4,,,,
2010-07-28,,,,,incompleta-v4,,,,
2010-07-29,,,,,incompleta-v4,,,,
2010-07-30,,,,,incompleta-v4,,,,
2010-08-02,,,,,incompleta-v4,,,,
2010-08-03,,,,,incompleta-v4,,,,
2010-08-04,,,,,incompleta-v4,,,,
2010-08-05,,,,,incompleta-v4,,,,
2010-08-06,,,,,incompleta-v4,,,,
2010-08-09,,,,,incompleta-v4,,,,
2010-08-10,,,,,incompleta-v4,,,,
2010-08-11,,,,,incompleta-v4,,,,
2010-08-12,,,,,incompleta-v4,,,,
2010-08-13,,,,,incompleta-v4,,,,
2010-08-16,,,,,incompleta-v4,,,,
2010-08-17,,,,,incompleta-v4,,,,
2010-08-18,,,,,incompleta-v4,,,,
2010-08-19,,,,,incompleta-v4,,,,
2010-08-20,,,,,incompleta-v4,,,,
2010-08-23,,,,,incompleta-v4,,,,
2010-08-24,,,,,incompleta-v4,,,,
2010-08-25,,,,,incompleta-v4,,,,
2010-08-26,,,,,incompleta-v4,,,,
2010-08-27,,,,,incompleta-v4,,,,
2010-08-30,,,,,incompleta-v4,,,,
2010-08-31,,,,,incompleta-v4,,,,
2010-09-01,,,,,incompleta-v4,,,,
2010-09-02,,,,,incompleta-v4,,,,
2010-09-03,,,,,incompleta-v4,,,,
2010-09-06,,,,,incompleta-v4,,,,
2010-09-07,,,,,incompleta-v4,,,,
2010-09-08,,,,,incompleta-v4,,,,
2010-09-09,,,,,incompleta-v4,,,,
2010-09-10,,,,,incompleta-v4,,,,
2010-09-13,,,,,incompleta-v4,,,,
2010-09-14,,,,,incompleta-v4,,,,
